method,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw_model,0.6558,0.6507,0.6605,0.6566,0.3595,0.6679
iti,0.6252,0.5918,0.6805,0.4802,0.3265,0.7876
