method,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw_model,0.6558,0.6507,0.6605,0.6566,0.3595,0.6679
probe_direction,0.6560,0.6515,0.6602,0.6587,0.3600,0.6662
