method,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw_model,0.7612,0.6938,0.8844,0.6354,0.5835,0.9132
iti,0.7069,0.6281,0.9651,0.4607,0.4519,0.9834
