method,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw_model,0.7612,0.6938,0.8844,0.6354,0.5835,0.9132
probe_direction,0.7613,0.6939,0.8844,0.6358,0.5837,0.9132
