method,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw_model,0.7612,0.6938,0.8844,0.6354,0.5835,0.9132
iti,0.7091,0.6301,0.9630,0.4664,0.4556,0.9819
