method,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw_model,0.6690,0.6084,0.8337,0.4545,0.3884,0.9046
iti,0.6668,0.6057,0.8395,0.4431,0.3805,0.9105
