method,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw_model,0.6690,0.6084,0.8337,0.4545,0.3884,0.9046
iti,0.6648,0.6027,0.8510,0.4291,0.3705,0.9206
