method,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw_model,0.6558,0.6507,0.6605,0.6566,0.3595,0.6679
iti,0.5258,0.5079,0.9506,0.0784,0.0798,0.9957
