method,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw_model,0.6558,0.6507,0.6605,0.6566,0.3595,0.6679
iti,0.5007,0.4950,1.0000,0.0232,0.0237,1.0000
