method,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw_model,0.6690,0.6084,0.8337,0.4545,0.3884,0.9046
iti,0.6663,0.6048,0.8438,0.4389,0.3779,0.9143
