method,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw_model,0.6558,0.6507,0.6605,0.6566,0.3595,0.6679
iti,0.5256,0.5078,0.9466,0.0782,0.0794,0.9953
