method,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw_model,0.7612,0.6938,0.8844,0.6354,0.5835,0.9132
iti,0.7202,0.6409,0.9496,0.4976,0.4830,0.9730
