method,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw_model,0.6690,0.6084,0.8337,0.4545,0.3884,0.9046
probe_direction,0.6691,0.6085,0.8335,0.4549,0.3889,0.9044
