method,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw_model,0.6690,0.6084,0.8337,0.4545,0.3884,0.9046
iti,0.6670,0.6055,0.8426,0.4408,0.3792,0.9130
