method,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw_model,0.7612,0.6938,0.8844,0.6354,0.5835,0.9132
iti,0.7217,0.6426,0.9466,0.5027,0.4877,0.9709
