method,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
vector_correction,0.8107,0.8401,0.7826,0.7852,0.6657,0.8416
raw_model,0.5099,0.4102,0.6054,0.5954,0.0000,0.4165
category_bias,0.7822,0.8717,0.6964,0.7078,0.6176,0.8679
