method,overall,gt_yes,gt_no,adversarial,adv_paired,adv_wo_pair
raw_model,0.6545,0.6403,0.6681,0.6539,0.3571,0.6679
bias,0.6637,0.6061,0.7188,0.7066,0.3675,0.6321
logistic_regression,0.7810,0.7704,0.7911,0.7974,0.6418,0.7758
correction,0.7692,0.6636,0.8705,0.8701,0.6029,0.6832
